"kind","name","type","icon","zones","location","note","info","link","worldOffsetY","worldOffsetZ","offsetX","offsetY","anchorBone"
"object","???","Hidden Object","QuestionMark.png","Southern San d'Oria","","","","","0.2","","","",""
"object","Auction Counter","Auction House","AuctionManager.png","Bastok Mines|Bastok Markets|Southern San d'Oria|Port San d'Oria|Windurst Woods|Windurst Walls|Lower Jeuno|Ru'Lude Gardens|Aht Urhgan Whitegate|Western Adoulin|Eastern Adoulin","","","","","0","","","",""
"object","Bag","Bag","Bag.png","","","","","","","","","",""
"object","Barrel","Barrel","Barrel.png","","","","","","","","","",""
"object","Bookshelf","Bookshelf","Bookshelf.png","","","","","","","","","",""
"object","Box","Box","Box.png","","","","","","","","","",""
"object","Burning Circle","Burning Circle","BurningCircle.png","","","","","","","","","",""
"object","Cavernous Maw","Cavernous Maw","CavernousMaw.png","","","","","","","","","",""
"object","Chat Manual","Tutorial","TutorialNPC.png","Northern San d'Oria","","","","","0.5","","","",""
"object","Clamming Point","Clamming Point","ClammingPoint.png","","","","","","","","","",""
"object","Crate","Crate","Crate.png","","","","","","","","","",""
"object","Crystal Crunch","Crystal Exchange","CrystalCrunch.png","Southern San d'Oria","","","","","0.6","","","",""
"object","Door. Chantry","Chantry","Door.png","Northern San d'Oria","","","","","","","","",""
"object","Door:Bastokan Consul","Consulate","Door.png","Northern San d'Oria","","","","","","","","",""
"object","Door:Count's Manor","Residence","Door.png","Southern San d'Oria","","","","","","","","",""
"object","Door:Helbort's Blades","Weapon Shop","Door.png","Southern San d'Oria","","","","","","","","",""
"object","Door:House","Residence","Door.png","Southern San d'Oria","","","","","","","","",""
"object","Door:Jeunoan Consul","Consulate","Door.png","Northern San d'Oria","","","","","","","","",""
"object","Door:Manuscript Room","Manuscript Room","MissionNPC.png","Northern San d'Oria","","","","","","","","",""
"object","Door:Othon's Garments","Garments Shop","Door.png","Lower Jeuno","","","","","","","","",""
"object","Door:Papal Chambers","Papal Chambers","Door.png","Northern San d'Oria","","","","","","","","",""
"object","Door:Raimbroy's Grocery","Grocery Shop","Door.png","Southern San d'Oria","","","","","","","","",""
"object","Door:Reliquary","Reliquary","Door.png","Northern San d'Oria","","","","","","","","",""
"object","Door:Rosel's Armour","Armor Shop","Door.png","Southern San d'Oria","","","","","","","","",""
"object","Door:Tanners' Guild","Leathercraft Guild","GuildMerchant.png","Southern San d'Oria","","","","","","","","",""
"object","Door:Taumila's Sundries","General Store","Door.png","Southern San d'Oria","","","","","","","","",""
"object","Enigmatic Footprints #1","Cutscene Replay","Cutscene.png","Southern San d'Oria","","","","","0","","","",""
"object","Ergon Locus","Ergon Locus","ErgonLocus.png","","","","","","","","","",""
"object","Ethereal Junction","Ethereal Junction","EtherealJunction.png","","","","","","","","","",""
"object","Excavation Point","Excavation Point","ExcavationPoint.png","","","","","","","","","",""
