"Name","Line","Zones","NoteLength","Reasons","Preview"
"Kiria-Romaria","1115","""Windurst"", ""Windurst Woods""","18313","very long; instruction wording","Notes: This NPC will answer all question about ""Raising a Chocobo"" below. Game Script: :What would you like to ask about? :The Vana'diel Chocobo Society ::Kiria-Romaria: The Vana'diel Chocobo Society, or VCS for short, i..."
"Arvilauge","664","""San d'Oria"", ""Southern San d'Oria""","18134","very long; instruction wording","Notes: This NPC will answer all question about ""Raising a Chocobo"" below. Game Script: :What would you like to ask about? :The Vana'diel Chocobo Society ::Arvilauge: The Vana'diel Chocobo Society, or VCS for short, is an..."
"Kuron-Makaron","5682","""Windurst"", ""Windurst Waters (S) map = North|H-10""","6563","very long; instruction wording; wiki markup","Notes: Kuron-Makaron is the Mithra Mercenaries' Morale Manager. His mission also comprises of monitoring Miss Mihgo's minions, and communicating all he accumulates to her majesty. ---- When talking to Kuron-Makaron, you ..."
"Eki Kamalabi","849","""Port Windurst"", ""Windurst""","6150","very long; instruction wording; wiki markup","Notes: Offers Information on Linkshells: :(...Yeah, that's what I said! But you know what? Oh, wait. Hold on...) I'm sorry, can I help you? [You point at the item in her hand.] Oh, this? It's a magical shell called a Lin..."
"Foletta","699","""San d'Oria"", ""Southern San d'Oria""","6150","very long; instruction wording; wiki markup","Notes: Offers Information on Linkshells: :(...Yeah, that's what I said! But you know what? Oh, wait. Hold on...) I'm sorry, can I help you? [You point at the item in her hand.] Oh, this? It's a magical shell called a Lin..."
"Patricius","256","""Metalworks""","6150","very long; instruction wording; wiki markup","Notes: Offers Information on Linkshells: :(...Yeah, that's what I said! But you know what? Oh, wait. Hold on...) I'm sorry, can I help you? [You point at the item in her hand.] Oh, this? It's a magical shell called a Lin..."
"Kaduru-Haiduru","2005","""Aht Urhgan Whitegate"", ""Al Zahbi""","5443","very long; instruction wording","Notes: * Kaduru-Haiduru is the older brother of famed ""Warp Taru"" Shihu-Danhu. * He will initially warp you to Ru'Lude Gardens; however, unlike Shihu-Danhu, he charges an Imperial Silver Piece for his work. * After you u..."
"Rainemard (S)","4319","""Freelance"", ""Jugner Forest (S)""","4222","very long; instruction wording","Notes: * In battle he often casts: Flash, Slow II, Paralyze II, and Blind II. *Uses all standard Sword weaponskills, discluding Relic, Mythic, or Special types. *Always casts both an Enspell and Spike spell of his choosi..."
"Pyru-Copyru","917","""Port Windurst"", ""Special Event"", ""Windurst""","3923","very long; instruction wording","Notes: Original dialogue: Wow, I've never heard that before. You know everything, Grandpa! Huh? Oh, a customer! Happy New Year! What? Who was I talking to just now? Oh, the other day, this really nice old man gave me my ..."
"Naja Salaheem","2040","""Aht Urhgan Whitegate"", ""Al Zahbi"", ""Battle""","3869","very long; instruction wording","Starts Quests: * Promotion: Private First Class * Promotion: Superior Private * Promotion: Sergeant * Promotion: Sergeant Major * Promotion: Second Lieutenant * Promotion: First Lieutenant Involved in Quests: * Lure of t..."
"Diradour","1481","""Jeuno"", ""Ru'Lude Gardens""","2981","very long; instruction wording","Notes: Offers Information on the Auction House Diradour: Welcome to the Auction House. Do you have any questions about our establishment? :What is the Auction House? Diradour: Auctions houses can be found in all of Vana'..."
"Gournaie","603","""Port San d'Oria"", ""San d'Oria""","2941","very long; instruction wording; wiki markup","Notes: Offers Information on the Auction House: :Welcome to the Auction House. Do you have any questions about our establishment? :*""What is the Auction House?"": Auctions houses can be found in all of Vana'diel's major c..."
"Honorine","1337","""Jeuno"", ""Lower Jeuno""","2941","very long; instruction wording; wiki markup","Notes: Offers Information on the Auction House: :Welcome to the Auction House. Do you have any questions about our establishment? :*""What is the Auction House?"": Auctions houses can be found in all of Vana'diel's major c..."
"Kobunono","996","""Windurst"", ""Windurst Walls""","2941","very long; instruction wording; wiki markup","Notes: Offers Information on the Auction House: :Welcome to the Auction House. Do you have any questions about our establishment? :*""What is the Auction House?"": Auctions houses can be found in all of Vana'diel's major c..."
"Palyalya","1146","""Windurst"", ""Windurst Woods""","2941","very long; instruction wording; wiki markup","Notes: Offers Information on the Auction House: :Welcome to the Auction House. Do you have any questions about our establishment? :*""What is the Auction House?"": Auctions houses can be found in all of Vana'diel's major c..."
"Rock Jaw","99","""Bastok Markets""","2941","very long; instruction wording; wiki markup","Notes: Offers Information on the Auction House: :Welcome to the Auction House. Do you have any questions about our establishment? :*""What is the Auction House?"": Auctions houses can be found in all of Vana'diel's major c..."
"Simmie","760","""San d'Oria"", ""Southern San d'Oria""","2941","very long; instruction wording; wiki markup","Notes: Offers Information on the Auction House: :Welcome to the Auction House. Do you have any questions about our establishment? :*""What is the Auction House?"": Auctions houses can be found in all of Vana'diel's major c..."
"Dry Bone","145","""Bastok Mines""","2559","very long; instruction wording; wiki markup","Notes: Offers Directions Around Town: :What's the matter? Are you lost? Ask for directions? :*""Ask."": Where do you want to go? :*""The South Gate and the residential area."": See that building south from here, on the left?..."
"Epione","58","""Bastok Markets""","2343","very long; instruction wording; wiki markup","Notes: Offers directions around Bastok: :Yes? Are you in need of assistance? :*""Ask."": Which area do you want to know about? :*""The Mog House, Metalworks, and the port."": First, go north from here, then turn east and go ..."
"Gajaad","2133","""Al Zahbi""","2235","very long; instruction wording","Notes: An NPC looking for signatures and donations of imperial currency to rebuild Al Zahbi. Notes: This NPC tracks how many Imperial Bronze Pieces you have donated. For every 100 Imperial Bronze Pieces you donate, he wi..."
"Avandale","576","""Port San d'Oria"", ""San d'Oria""","2163","very long; instruction wording; wiki markup","Notes: Offers General Information: :Perhaps I could be of service. Is there anything in particular you'd like to know? :*""Nothing Actually."" :*""I'd like to get out of the city."": Just got here and you're aching to leave,..."
"Festive Moogle","317","""Port Bastok"", ""San d'Oria"", ""Windurst""","2117","very long; instruction wording","Notes: Exchanges mog pells for a variety of items specific to each. Dispenses an event item for those that attended the Final Fantasy XI Fan Festival 2007 (Nomad Cap), Final Fantasy XI 5th Anniversary Fan Event in 2007 (..."
"Yuhito-Kubhito","956","""Port Windurst"", ""Windurst""","2112","very long; instruction wording; wiki markup","Notes: thumb|100px|ElementsOffers Information on the Elemental Relationships: :W-what? You don't want to see my chart of elemental correlations, do you? 'Cause if you do, well, I'm sorry, I don't know anything about such..."
"Ceraule","680","""San d'Oria"", ""Southern San d'Oria""","2032","very long; instruction wording; wiki markup","Notes: Offers General Information: :Perhaps I could be of service. Is there anything in particular you'd like to know? :*""Nothing Actually."" :*""I'd like to get out of the city."": Just got here and you're aching to leave,..."
"Laughing Lizard","878","""Port Windurst"", ""Windurst""","1961","very long","Notes: Offers an Explanation of the Fishing System: Eh? You say somethin'? Hmph! You dang kids these days ain't go no respect for your elders. Can't you see I'm tryin' to learn this new fandagled fishin' method? In my da..."
"Dulsie","306","""Port Bastok""","1860","very long; instruction wording; wiki markup","Notes: Offers General Information and a Map of Bastok: :I am charged with the task of assisting novice adventurers. What would you like to know? :*""How do I give items to people?"": Giving items ot other people is called ..."
