Type,Count,Status,Suggestion,Sources,Examples
"Standard Merchant",365,"vendor_review","","legacy_wiki=175; npc=190","Defliaa (npc); Brave Ox (npc); Dabih Jajalioh (npc); Areebah (npc); Brunhilde (npc); Teleen (npc)"
"Gobbie Mystery Box Vendor",22,"vendor_review","","legacy_wiki=11; npc=11","Sweepstox (npc); Funtrox (npc); Habitox (npc); Winrix (npc); Wondrix (npc); Specilox (npc)"
"Standard Merchant NPC",12,"vendor_review","","legacy_wiki=12","Teleen (legacy_wiki); Boncort (legacy_wiki); Pevovo (legacy_wiki); Coullave (legacy_wiki); Tavourine (legacy_wiki); Justi (legacy_wiki)"
"Fishing Merchant",10,"vendor_review","","npc=10","Cehn Teyohngo (npc); Mep Nhapopoluko (npc); Wahnid (npc); Mendoline (npc); Lokhong (npc); Pashi Maccaleh (npc)"
"VCS Chocobuck Exchange Depot Vendor",8,"vendor_review","","legacy_wiki=4; npc=4","Palabelle (npc); Robino-Mobino (Windurst Woods) (npc); Gavoroi (npc); Toppi-Meppi (npc); Palabelle (legacy_wiki); Robino-Mobino (Windurst Woods) (legacy_wiki)"
"Merchant",7,"vendor_review","","legacy_wiki=2; npc=5","Blabbivix (npc); Deumagneot (npc); Gaudylox (npc); Silent Rooster (npc); Spondulix (npc); Silent Rooster (legacy_wiki)"
"Clothcraft Merchant",6,"vendor_review","","npc=6","Geltpix (npc); Tilala (npc); Taten-Bilten (npc); Gibol (npc); Kuzah Hpirohpon (npc); Meriri (npc)"
"Imperial Merchant",6,"vendor_review","","legacy_wiki=2; npc=4","Kazween (npc); Mariyaam (npc); Awaheen (npc); Ugrihd (npc); Ugrihd (legacy_wiki); Awaheen (legacy_wiki)"
"Smithing Merchant",6,"vendor_review","","npc=6","Ndego (npc); Mololo (npc); Vicious Eye (npc); Doggomehr (npc); Amulya (npc); Kamilah (npc)"
"Goldsmithing Merchant",5,"vendor_review","","npc=5","Celestina (npc); Bornahn (npc); Yabby Tanmikey (npc); Teerth (npc); Visala (npc)"
"Alchemy Guild Merchant",4,"vendor_review","","npc=4","Odoba (npc); Gathweeda (npc); Wahraga (npc); Maymunah (npc)"
"Boat Ticket Vendor",4,"vendor_review","","legacy_wiki=2; npc=2","Atiza (npc); Tswe Panipahr (npc); Atiza (legacy_wiki); Tswe Panipahr (legacy_wiki)"
"Cruor Merchant",4,"vendor_review","","legacy_wiki=2; npc=2","Chocobo Tamer (npc); Lined Casket (npc); Chocobo Tamer (legacy_wiki); Lined Casket (legacy_wiki)"
"Woodworking Merchant",4,"vendor_review","","npc=4","Dehbi Moshal (npc); Beugungel (npc); Chaupire (npc); Cauzeriste (npc)"
"Escha Vendor",3,"vendor_review","","npc=3","Shiftrix (npc); Dremi (npc); Affi (npc)"
"HTMB Vendor",3,"vendor_review","","npc=3","Mimble-Pimble (npc); Trisvain (npc); Raving Opossum (npc)"
"Traveling Merchant",3,"vendor_review","","legacy_wiki=1; npc=2","Valeriano (npc); Ominous Cloud (npc); Ominous Cloud (legacy_wiki)"
"World Pass Merchant",3,"vendor_review","","legacy_wiki=3","Kachada (legacy_wiki); Ambleon (legacy_wiki); Gamimi (legacy_wiki)"
"Bonecraft | Guild Merchant",2,"vendor_review","","npc=2","Retto-Marutto (npc); Shih Tayuun (npc)"
"Cooking Merchant",2,"vendor_review","","npc=2","Chomo Jinjahl (npc); Kopopo (npc)"
"Einherjar Merchant",2,"vendor_review","","legacy_wiki=1; npc=1","Kilusha (npc); Kilusha (legacy_wiki)"
"Goldfish Scooping Vendor",2,"vendor_review","","legacy_wiki=1; npc=1","Saradorial (npc); Saradorial (legacy_wiki)"
"Guild Merchant (Alchemy)",2,"vendor_review","","legacy_wiki=2","Odoba (legacy_wiki); Maymunah (legacy_wiki)"
"Guild Merchant NPC",2,"vendor_review","","legacy_wiki=2","Amulya (legacy_wiki); Geltpix (legacy_wiki)"
"Guild Merchant NPC: Culinarians' Guild",2,"vendor_review","","legacy_wiki=2","Chomo Jinjahl (legacy_wiki); Kopopo (legacy_wiki)"
"Guild Merchant NPC: Woodworking Guild",2,"vendor_review","","legacy_wiki=2","Dehbi Moshal (legacy_wiki); Chaupire (legacy_wiki)"
"HELM Vendor",2,"vendor_review","","npc=2","Floralie (npc); Kithvalio (npc)"
"HELM Vendor NPC",2,"vendor_review","","legacy_wiki=2","Floralie (legacy_wiki); Kithvalio (legacy_wiki)"
"Leathercraft Merchant",2,"vendor_review","","npc=2","Cletae (npc); Kueh Igunahmori (npc)"
"Merchant NPC",2,"vendor_review","","legacy_wiki=2","Blabbivix (legacy_wiki); Spondulix (legacy_wiki)"
"Mweya Plasm Merchant",2,"vendor_review","","legacy_wiki=1; npc=1","Forri-Porri (npc); Forri-Porri (legacy_wiki)"
"Obsidian Fragment Merchant",2,"vendor_review","","legacy_wiki=1; npc=1","Ornery Dhole (npc); Ornery Dhole (legacy_wiki)"
"Pankration Item Merchant",2,"vendor_review","","legacy_wiki=1; npc=1","Zandjarl (npc); Zandjarl (legacy_wiki)"
"Peacekeepers' Coalition Reward Bayld Vendor NPC",2,"vendor_review","","legacy_wiki=1; npc=1","Vesca (npc); Vesca (legacy_wiki)"
"Aether Fragment Shop",1,"vendor_review","","catseye_npc=1","Aether Traveler (catseye_npc)"
"Assault Gear Vendor",1,"vendor_review","","catseye_npc=1","Wildcat Armorer (catseye_npc)"
"Astrolabe Vendor",1,"vendor_review","","npc=1","Churano-Shurano (npc)"
"Batagreens Vendor",1,"vendor_review","","npc=1","Phairet (npc)"
"Bayld Vendor",1,"vendor_review","","npc=1","Zenicca (npc)"
"CW Key Vendor",1,"vendor_review","","catseye_npc=1","Picklox (catseye_npc)"
"Chair Shop",1,"vendor_review","","catseye_npc=1","Teodor (catseye_npc)"
"Conquest Item Vendor",1,"vendor_review","","catseye_npc=1","Jeuno Envoy (catseye_npc)"
"Curio Shop",1,"vendor_review","","catseye_npc=1","Curio Moogle (catseye_npc)"
"Curio Vendor",1,"vendor_review","","npc=1","Curio Vendor Moogle (npc)"
"Event Vendor",1,"vendor_review","","npc=1","Fablinix (npc)"
"Ferry Ticket Vendor",1,"vendor_review","","legacy_wiki=1","Tazhaal (legacy_wiki)"
"GEO Spell Shop",1,"vendor_review","","catseye_npc=1","Sylvie (catseye_npc)"
"Garments Shop",1,"vendor_review","","item=1","Door:Othon's Garments (item)"
"Grocery Shop",1,"vendor_review","","item=1","Door:Raimbroy's Grocery (item)"
"Guild Merchant (Woodworking)",1,"vendor_review","","legacy_wiki=1","Cauzeriste (legacy_wiki)"
"Guild Merchant NPC: Alchemy Guild :Open: 8:00 - 23:00. :Shares stock with Gathweeda.",1,"vendor_review","","legacy_wiki=1","Wahraga (legacy_wiki)"
"Guild Merchant NPC: Alchemy Guild :Open: 8:00 - 23:00. :Shares stock with Wahraga.",1,"vendor_review","","legacy_wiki=1","Gathweeda (legacy_wiki)"
"Guild Merchant NPC: Bonecraft Guild",1,"vendor_review","","legacy_wiki=1","Shih Tayuun (legacy_wiki)"
"Guild Merchant NPC: Bonecraft Guild *Open: 24 hours. *No longer closed Windsday. *No longer shares stock with Shih Tayuun, and prices are static. *Has much higher stock limits than Shih Tayuun, but can be depleted. *Stock is replenished over time.",1,"vendor_review","","legacy_wiki=1","Retto-Marutto (legacy_wiki)"
"Guild Merchant NPC: Clothcraft Guild :Open 24 hours :No longer shares stock with Tilala. :Sells the same items as Kuzah Hpirohpon in Windurst Woods. :Never runs out of stock.",1,"vendor_review","","legacy_wiki=1","Gibol (legacy_wiki)"
"Guild Merchant NPC: Clothcraft Guild :Open: 6:00 - 21:00 :No longer closed Firesday :Refuses to sell items if Allard is taken prisoner.",1,"vendor_review","","legacy_wiki=1","Taten-Bilten (legacy_wiki)"
"Guild Merchant NPC: Clothcraft Guild :Open: 6:00 - 21:00 :No longer shares stock with Gibol.",1,"vendor_review","","legacy_wiki=1","Tilala (legacy_wiki)"
"Guild Merchant NPC: Fishermans' Guild :Open: 3:00 - 18:00",1,"vendor_review","","legacy_wiki=1","Babubu (legacy_wiki)"
"Guild Merchant NPC: Fishing Guild :Open: 1:00 - 18:00",1,"vendor_review","","legacy_wiki=1","Wahnid (legacy_wiki)"
"Guild Merchant NPC: Fishing Guild :Open: 1:00 - 23:00 :Similar to, but does not share stock with Lokhong.",1,"vendor_review","","legacy_wiki=1","Rajmonda (legacy_wiki)"
"Guild Merchant NPC: Fishing Guild :Open: 1:00 - 23:00 :Similar to, but does not share stock with Rajmonda.",1,"vendor_review","","legacy_wiki=1","Lokhong (legacy_wiki)"
"Guild Merchant NPC: Fishing Guild :Open: 3:00 - 18:00 :Shares stock with Graegham",1,"vendor_review","","legacy_wiki=1","Mendoline (legacy_wiki)"
"Guild Merchant NPC: Fishing Guild :Open: 3:00 - 18:00 :Shares stock with Mendoline.",1,"vendor_review","","legacy_wiki=1","Graegham (legacy_wiki)"
"Guild Merchant NPC: Goldsmithing Guild :Open: 8:00 - 23:00 :Refuses to sell items if Zafif is taken prisoner.",1,"vendor_review","","legacy_wiki=1","Bornahn (legacy_wiki)"
"Guild Merchant NPC: Leathercraft :Open: 3:00 - 18:00 :No longer closed Iceday",1,"vendor_review","","legacy_wiki=1","Kueh Igunahmori (legacy_wiki)"
"Guild Merchant NPC: Smithing Guild",1,"vendor_review","","legacy_wiki=1","Lucretia (legacy_wiki)"
"Guild Merchant NPC: Smithing Guild :Open: 8:00 - 23:00",1,"vendor_review","","legacy_wiki=1","Doggomehr (legacy_wiki)"
"Guild Merchant NPC: Smithing Guild :Open: 8:00 - 23:00 :Closed: No longer closed on Watersday. :Refuses to sell items if Kahah Hobichai is taken prisoner.",1,"vendor_review","","legacy_wiki=1","Ndego (legacy_wiki)"
"Guild Merchant NPC: Weaver's Guild :Open: 6:00 - 21:00 hours :No longer shares stock with Meriri. :Sells the same items as Gibol in Selbina.{{Verification",1,"vendor_review","","legacy_wiki=1","Kuzah Hpirohpon (legacy_wiki)"
"Guild Merchant NPC: Weavers' Guild :Open: 24 Hours :No longer shares stock with Kuzah Hpirohpon. :Never runs out of stock.",1,"vendor_review","","legacy_wiki=1","Meriri (legacy_wiki)"
"Guild Merchant NPC: Woodworking Guild :Open: 5:00 - 22:00 :Never runs out of stock.",1,"vendor_review","","legacy_wiki=1","Beugungel (legacy_wiki)"
"Guild Merchant: Tanners' Guild (San d'Oria)",1,"vendor_review","","legacy_wiki=1","Cletae (legacy_wiki)"
"HELM Venture Shop",1,"vendor_review","","catseye_npc=1","Alternix (catseye_npc)"
"ISNM Vendor",1,"vendor_review","","npc=1","Shajaf (npc)"
"Inventor's Coalition Reward Bayld Vendor NPC",1,"vendor_review","","legacy_wiki=1","Ceciliotte (legacy_wiki)"
"Library Vendor",1,"vendor_review","","npc=1","Patient Snake (npc)"
"Linkshell Dealer :Shop Hours: 12:00 - 20:00, Closed Darksday",1,"vendor_review","","legacy_wiki=1","Khel Pahlhama (legacy_wiki)"
"Map Vendor NPC",1,"vendor_review","","legacy_wiki=1","Sifa Alani (legacy_wiki)"
"Merchant NPC :Open from 11:00 to 22:00",1,"vendor_review","","legacy_wiki=1","Gaudylox (legacy_wiki)"
"Mog Vault Shop",1,"vendor_review","","catseye_npc=1","Moggy (catseye_npc)"
"PFP Shop",1,"vendor_review","","catseye_npc=1","Cerdoux (catseye_npc)"
"PUP Attachment Shop",1,"vendor_review","","catseye_npc=1","Mnejing (catseye_npc)"
"Pioneer's Coalition Reward Bayld Vendor NPC",1,"vendor_review","","legacy_wiki=1","Zenicca (legacy_wiki)"
"Quiver Merchant",1,"vendor_review","","npc=1","Nokkhi Jinjahl (npc)"
"Rhapsodies of Vana'diel Merchant",1,"vendor_review","","legacy_wiki=1","Curio Vendor Moogle (legacy_wiki)"
"Special Event Coordinator NPC, Special Event Merchant NPC",1,"vendor_review","","legacy_wiki=1","Charmealaut (legacy_wiki)"
"Special Merchant",1,"vendor_review","","npc=1","Tucker (npc)"
"Standard (Traveling) Merchant",1,"vendor_review","","legacy_wiki=1","Valeriano (legacy_wiki)"
"Standard Merchant :Open from 11:00 to 22:00",1,"vendor_review","","legacy_wiki=1","Scavnix (legacy_wiki)"
"Summit AP Shop",1,"vendor_review","","catseye_npc=1","Ruspix (catseye_npc)"
"Summit AP Shop & Warp",1,"vendor_review","","catseye_npc=1","Ygnas (catseye_npc)"
"Traveling Merchant NPC - Quiver-Maker",1,"vendor_review","","legacy_wiki=1","Nokkhi Jinjahl (legacy_wiki)"
"Voidwatch Vendor",1,"vendor_review","","npc=1","Voidwatch Purveyor (npc)"
"Waypoint Vendor",1,"vendor_review","","npc=1","Jausephiane (npc)"
"Wildskeeper Vendor",1,"vendor_review","","npc=1","Dimmian (npc)"
"Campaign",98,"review","","npc=98","Perna-Parna, C.C. (npc); Hedioste, R.K. (npc); Dancing Thunder, L.C. (npc); Ulaciont, R.K. (npc); Yhu Lyehga, M.C. (npc); Amaliya, C.A. (npc)"
"Campaign NPC",93,"review","","legacy_wiki=87; npc=6","Nudara (S) (npc); Bernhard (npc); Kadjaya (npc); Ilgusin (npc); Gentle Tiger (S) (npc); Kagetora (S) (npc)"
"Campaign Battle",50,"review","","npc=50","Patriarch Protector (npc); Ariesian Caster (npc); Royal Esquire (npc); Thunder Fiend (npc); Wildcat Vanguard (npc); Scylla Brigade Healer (npc)"
"Mission",45,"review","","legacy_wiki=4; npc=41","Chero-Machero (npc); Karazahm (npc); Judith (npc); Lilisette (npc); Wegellion (npc); Rochefogne (npc)"
"Past Event Watcher",44,"review","","legacy_wiki=2; npc=42","Colleraie (npc); Dohhel (npc); Gorvik (npc); Bheva Grantih (npc); Jedelaih (npc); Melledanne (npc)"
