"kind","name","type","icon","zones","location","note","info","link","worldOffsetY","worldOffsetZ","offsetX","offsetY","anchorBone"
"catseye_npc","Adeptus","Adept Reforging","Event.png","Rabao","Rabao J-6, across from the Auction House","Adept Reforging:\n* Starts repeatable level 65+ job-specific ENM armor augment trials.\n* Speak as the job whose equipment you want to augment.\n* After kill and NM trials, trade armor plus required material to upgrade.","","","","","","",""
"catseye_npc","Aeolia","CW Starting Ring","QuestGiver.png","Southern San d'Oria","Southern San d'Oria M-8","Crystal Warrior:\n* Starts quest: Ring Around the Roses.\n* Rewards San d'Orian Ring.\n* Can be completed regardless of allegiance.","","","","","","",""
"catseye_npc","Aesculian","CW HELM Quest","QuestNPC.png","East Ronfaure","East Ronfaure I-7","Crystal Warrior:\n* Starts quest: Hatchet Job.\n* Level 5 San d'Oria HELM introduction.","","","","","","",""
"catseye_npc","Aether Traveler","Aether Fragment Shop","AetherTraveler.png","Port Jeuno","","Aether Traveler:\n* Weekend shop from Friday JST midnight to Monday JST midnight.\n* Buys and stores Aether Fragments.\n* Weekly requests can earn extra fragments.","","","","","","",""
"catseye_npc","Afdeen","PvP Teleporter","star.png","Upper Jeuno","","","","","","","","",""
"catseye_npc","Agent M97","Quest NPC","QuestNPC.png","","Lower Jeuno","","","","","","","",""
"catseye_npc","Aletta","CW Armor Quest","QuestNPC.png","The Eldieme Necropolis","The Eldieme Necropolis J-8","Crystal Warrior:\n* Level 30 armor quest: Negotiating the Necropolis.\n* Rewards Eisen Armor Set.","","","","","","",""
"catseye_npc","Alternix","HELM Venture Shop","Alternix.png","Upper Jeuno","Upper Jeuno I-11","CatsEyeXI Ventures:\n* Sells items for HELM Venture Points.","","","","","","",""
"catseye_npc","Alutanie","CW Early Gear","QuestGiver.png","Southern San d'Oria","Southern San d'Oria D-8","Crystal Warrior:\n* Starts quest: Saving My Hide.\n* Level 20 early gear quest.","","","","","","",""
"catseye_npc","Ametrine","CW Quest Upgrade","Event.png","Provenance","","Crystal Warrior:\n* Transfers Crystal Warrior quest augments onto crafted HQ versions.\n* Trade the HQ item to see required materials.","","","","","","",""
"catseye_npc","Ancestry Moogle","Race Change","AncestryMoogle.png","Port San d'Oria|Port Bastok|Windurst Walls","","CatsEyeXI:\n* Race, gender, face, hair, and size change service.\n* After changing race or gender, can swap certain armor pieces you can no longer use.","","","","","","",""
"catseye_npc","Andrus","EXP Guide Unlock","QuestNPC.png","Lufaise Meadows","Lufaise Meadows E-8","Near Death Experience:\n* Unlocks the EXP Guide in Lower Jeuno.\n* Find the missing pages in Lufaise Meadows, then defeat Megalomaniac from the Shredded Page.","","","","","","",""
"catseye_npc","Archimedes","CW Starting Quest","QuestNPC.png","Northern San d'Oria","Northern San d'Oria F-6","Crystal Warrior:\n* Starts quest: Staying Afloat.\n* Level 1 starting quest.","","","","","","",""
"catseye_npc","Ash","EXP Guide Unlock","QuestNPC.png","Batallia Downs (S)","Batallia Downs (S) H-5","Blast to the Past:\n* Unlocks the EXP Guide (S) in Ru'Lude Gardens.\n* Find the missing pages in Batallia Downs (S), then defeat Assassin Coq from the Shredded Page.","","","","","","",""
"catseye_npc","Atla","Mog Vault Quest","Event.png","Pso'Xja","Pso'Xja H-8 Map 14","Mog Vault:\n* Initial vault quest moogle.\n* Found near Golden-Tongued Culberry after entering from Beaucedine Glacier N-7.","","","","","","",""
"catseye_npc","Bagatrix","CW Daily Content","QuestNPC.png","Oldton Movalpolos","Oldton Movalpolos G-8","Goblin's Gambit:\n* Repeatable daily Crystal Warrior fight.\n* Trade Gold Beastcoin x4 to start.\n* Choose from rotating attachment, scroll, or trust reward chests after victory.","","","","","","",""
"catseye_npc","Bardus","CW Starting Quest","QuestNPC.png","Port Bastok","Port Bastok K-6","Crystal Warrior:\n* Starts quest: Bug Report.\n* Level 1 Bastok starting quest.","","","","","","",""
"catseye_npc","Beetrix","Goblin Daily","Event.png","Lower Jeuno","Lower Jeuno H-8","CatsEyeXI Dailies:\n* Daily objective: obtain a random item.\n* Rewards Obsidian Fragments and Cosmo-Coins.\n* Trade 50,000 gil, or 15,000 gil on CW, to reset the objective.","","","","","","",""
"catseye_npc","Bella","CW Armor Quest","QuestNPC.png","Crawlers' Nest","Crawlers' Nest J-9","Crystal Warrior:\n* Level 30 armor quest: Navigating the Nest.\n* Rewards Noct Attire Set.","","","","","","",""
"catseye_npc","Boboroon","CW Daily Reward","Event.png","Provenance","","Crystal Warrior:\n* Daily friendship reward NPC.\n* Talk once per earth day for fireworks, cosmetics, food, and friendship progress.\n* Friendship ranks can reward Mog Sack upgrades.","","","","","","",""
"catseye_npc","Bobortimer","Novice Trials","Event.png","Port Bastok","Port Bastok H-6","Novice Trials:\n* Starts no-cooldown equipment augment trials.\n* Can transfer completed NQ augments to crafted HQ versions.\n* Trials may be completed on any job.","","","","","","",""
"catseye_npc","Brewnix","Venture Battles","Brewnix.png","Lower Jeuno","Lower Jeuno I-8, Merry Minstrel Meadhouse","CatsEyeXI Ventures:\n* Starts Gobbie Gathering.\n* Starts Venture Battles.","","","","","","",""
"catseye_npc","Cara R.C.","Referral Concierge","star.png","Bastok Markets","","Refer a Friend:\n* Claims rewards for the CatsEyeXI Refer a Friend program.\n* Referred friends receive leveling rewards.\n* Referrers earn Referral Points for milestone rewards.","","","","","","",""
"catseye_npc","Carnelian","CW Issue Recovery","Event.png","Provenance","","Crystal Warrior:\n* Former recovery service NPC.\n* Current recovery services are handled by the Crystal Guide Book in Provenance.","","","","","","",""
"catseye_npc","Cassie","Grand Trials","Event.png","Tavnazian Safehold","Tavnazian Safehold F-10, near the Auction House","Grand Trials:\n* Offers no-cooldown trials to augment existing equipment.\n* Only one trial may be active at a time; speak to Cassie to cancel.\n* Can transfer NQ augments to HQ crafted items after the current trial is complete.","","","","","","",""
"catseye_npc","Cerdoux","PFP Shop","Cerdoux.png","Upper Jeuno","Upper Jeuno I-10","CatsEyeXI:\n* Sells items for Party Finder Points.\n* PFP is earned by using the CEXI exclusive Party Finder addon.","","","","","","",""
"catseye_npc","Chiliad the Snoll","CEXI 1000 Player Event","Event.png","Ru'Lude Gardens","","CEXI 1000 Player Event:\n* Explains the current Summit Objective monster family.\n* Exchanges Grand Tokens for event rewards.","","","","","","",""
"catseye_npc","Chilly Wolf","CW Starting Quest","QuestNPC.png","Northern San d'Oria","Northern San d'Oria C-9","Crystal Warrior:\n* Starts quest: In Sheep's Clothing.\n* Level 5 San d'Oria starting quest.","","","","","","",""
"catseye_npc","Conchata-Potata","CW Starting Quest","QuestNPC.png","Port Bastok","Port Bastok E-6","Crystal Warrior:\n* Starts quests: That's All Folks, In A Bucket.\n* Level 10 Bastok starting quests.","","","","","","",""
"catseye_npc","Couquillard","CW Starting Quest","QuestNPC.png","Southern San d'Oria","Southern San d'Oria K-6","Crystal Warrior:\n* Starts quest: Hungry Customer.\n* Level 1 San d'Oria starting quest.","","","","","","",""
"catseye_npc","Courier Helper","Holiday Event","Event.png","Bastok Mines|Southern San d'Oria|Windurst Waters","","Holiday Event:\n* Gives the courier mini-game.\n* Find a Lost Present in the field, then return for credit.","","","","","","",""
"catseye_npc","Cramp","CW Armor Quest","QuestNPC.png","Garlaige Citadel","Garlaige Citadel G-8","Crystal Warrior:\n* Level 30 armor quest: Searching the Citadel.\n* Rewards Seer's Attire Set.","","","","","","",""
"catseye_npc","Crooked Jones","Doubloon Fish Daily","CrookedJones.png","Norg","Norg H-8","CatsEyeXI:\n* Level 20+ daily fish turn-in in Norg (H-8).\n* Provides a random fish request for doubloons.\n* Doubloons buy treasure hunt rewards; shovel is recommended around 5000 total.","","","","","","",""
"catseye_npc","Crystal Crunch","Crystal Exchange","CrystalCrunch.png","","","CatsEyeXI:\n* Located near guilds.\n* Exchanges crystals and clusters at a 3-to-1 rate.","","","","","","",""
"catseye_npc","Crystal Warden","CW Intro Quest","Event.png","Provenance","","A Crystal Prelude:\n* Crystal Warrior introductory quest NPC.\n* Talk a couple times to be teleported to your nation starter area.","","","","","","",""
"catseye_npc","Cumetouflaix","Beastcoin Exchange","Cumetouflaix.png","Port Jeuno","Port Jeuno F-8","CatsEyeXI:\n* Stores and exchanges Ancient Beastcoins.\n* Shares stored Ancient Beastcoins with Sagheera in Port Jeuno (I-8).","","","","","","",""
"catseye_npc","Curio Moogle","Curio Shop","CurioMoogle.png","Port San d'Oria|Port Bastok|Port Windurst","","CatsEyeXI:\n* ACE curio shop near port-area Mog Houses.\n* Sells food, medicine, keys, trusts, and other utility items.\n* Some items require Rhapsody key items from Momiji.","","","","","","",""
"catseye_npc","Dadaroon","HELM Unlock Quest","QuestNPC.png","Nashmau","Nashmau H-7","Clink to the Past:\n* Unlocks excavation in Aht Urhgan.\n* Wants Almond x12, then Imperial Gold Piece x5.","","","","","","",""
"catseye_npc","Decrepit S. Lord","Halloween Event","Event.png","Reisenjima Sanctorium","","Halloween Event:\n* Exchanges M. Slime Spirit for Halloween rewards.","","","","","","",""
"catseye_npc","Delivery Helper","Holiday Event","Event.png","Bastok Mines|Southern San d'Oria|Windurst Waters","","Holiday Event:\n* Gives the delivery mini-game.\n* Deliver Kiddie Presents to the requested child NPC, then return for credit.","","","","","","",""
"catseye_npc","Disarmed Knight","Outpost Unlock Quest","QuestNPC.png","Lower Delkfutt's Tower","Lower Delkfutt's Tower E-10, Map 1","Up, Up and Away:\n* Unlocks Emilia's Outpost Teleports.\n* Find Training Supplies in Upper Delkfutt's Tower, then return.","","","","","","",""
"catseye_npc","Domain Officer","Domain Shard Exchange","Merchant.png","Upper Jeuno","Upper Jeuno G-9","Domain Invasion:\n* Exchanges Domain Shards for materials, equipment, accessories, and Aeonic weapon skill unlocks.\n* Can authorize Lesser Domain NM fights for 60,000 shards.\n* Can authorize Greater Domain NM fights for 120,000 shards.","","","","","","",""
"catseye_npc","Domain Traveler","Domain Invasion Entry","DomainTraveler.png","Lower Jeuno","Lower Jeuno, above the Auction House","Domain Invasion:\n* Sends level 75 players to the active Domain Invasion battlefield.\n* Battles rotate through Adoulin zones with a 5 minute cooldown.\n* Also grants daily conquered-domain bonus rewards.","","","","","","",""
"catseye_npc","Dragon Lore","Dragonslaying Merit Storage","Event.png","Ru'Lude Gardens","Ru'Lude Gardens G-9","Dragonslaying:\n* Stores merit points for later DKP pop item purchases.\n* Alternative merit storage to Sigmund in Mhaura.","","","","","","",""
"catseye_npc","Dusty Footprint","CW Content Quest","QuestNPC.png","Oldton Movalpolos","Oldton Movalpolos E-5","Rock Cooking:\n* Repeatable Crystal Warrior content quest.\n* One-time Beastcoin x12 unlock.\n* Enables Smolderoq to cook Igneous Rocks into random gems.","","","","","","",""
"catseye_npc","EXP Guide","EXP Guide","EXPGuide.png","Lower Jeuno","Lower Jeuno Auction House","CatsEyeXI:\n* Free warp book for Signet and Sanction EXP camps.\n* Unlocks after Near Death Experience from Andrus in Lufaise Meadows.\n* Trade 1 gil for a secret menu.\n* Crystal Warriors cannot use this book.","","","","","","",""
"catseye_npc","EXP Guide (S)","EXP Guide","EXPGuideS.png","Ru'Lude Gardens","Ru'Lude Gardens, near the Mog House","CatsEyeXI:\n* Free warp book for Sigil EXP camps.\n* Unlocks after Blast to the Past from Ash in Batallia Downs (S).\n* Trade 1 gil for a secret menu to Xarcabard (S) G-7 near Caracal.\n* Crystal Warriors may use this book.","","","","","","",""
"catseye_npc","Emilia","Outpost Warp","Emilia.png","Lower Jeuno","Lower Jeuno J-7, between the Auction House and Neptune's Spire","CatsEyeXI:\n* Outpost teleport service after Up, Up and Away.\n* Outposts still require normal supply quest unlocks.\n* Can teleport to Aht Urhgan Whitegate after the relevant Lure of the Wildcat quest.","","","","","","",""
"catseye_npc","Emilio","Outpost Warp","Emilio.png","Provenance","Provenance, Crystal Warrior only","Crystal Warrior:\n* Outpost teleport service after Up, Up and Away.\n* Outposts still require normal supply quest unlocks.","","","","","","",""
"catseye_npc","Emiliu","Outpost Warp","Emiliu.png","Aht Urhgan Whitegate","Aht Urhgan Whitegate E-7, near the Auction House","CatsEyeXI:\n* Outpost teleport service after Up, Up and Away.\n* Outposts still require normal supply quest unlocks.","","","","","","",""
"catseye_npc","Erbelie","CW Starting Quest","QuestNPC.png","Port Windurst","Port Windurst G-8","Crystal Warrior:\n* Starts quests: Neck and Neck, Neck and Neck II.\n* Level 10 Windurst starting quests.","","","","","","",""
"catseye_npc","Erudu-Faludu","CW Intro Quest","QuestNPC.png","Toraimarai Canal","Toraimarai Canal","A Crystal Prelude:\n* Windurstian starter NPC.\n* Gives a Sickle, then asks for material from a Dangling Root.\n* Starts the intro NM encounter and warps you out after completion.","","","","","","",""
"catseye_npc","Eryndor","Leafallia Amenities","Event.png","Leafallia","","Summit of the Stars:\n* Introduces Leafallia amenities after Summit access is unlocked.\n* Amenities include Home Point, Outpost Warp, EXP Guides, Domain Traveler, Nomad Moogle, Auction House, Delivery Box, and synthesis support.","","","","","","",""
"catseye_npc","Felyna","HELM Unlock Quest","QuestNPC.png","Mhaura","Mhaura G-9","Broken Bones:\n* Unlocks excavation in Labyrinth of Onzozo.\n* Collect the Buried Note in Fort Karugo-Narugo [S], then return.","","","","","","",""
"catseye_npc","Ferredec","CW Early Gear","QuestNPC.png","Metalworks","Metalworks F-9","Crystal Warrior:\n* Starts quest: Wanting Ore.\n* Level 20 early gear quest.","","","","","","",""
"catseye_npc","Fha Mhakyaa","CW HELM Quest","QuestNPC.png","West Sarutabaruta","West Sarutabaruta G-9","Crystal Warrior:\n* Starts quest: Reaping Rewards.\n* Level 5 Windurst HELM introduction.","","","","","","",""
"catseye_npc","Fishstix","Goblin Daily","Event.png","Lower Jeuno","Lower Jeuno H-8","CatsEyeXI Dailies:\n* Daily objective: find a Secret Chest.\n* Use /huh motion for direction hints.\n* Hints range from Right Next to You to Distant.","","","","","","",""
"catseye_npc","Franz","Dynamis Augments","Event.png","Tavnazian Safehold","Tavnazian Safehold H-8","CatsEyeXI Augmenting:\n* Augments corresponding Dynamis items using Rank Points and stored currency.\n* Required currency is deducted from Freya, the NPC beside him.\n* Requires the matching essence from defeating the Arch zone boss once; check with !essences.","","","","","","",""
"catseye_npc","Freya","Dynamis Currency Storage","Freya.png","Tavnazian Safehold","Tavnazian Safehold H-8, beside Franz","CatsEyeXI Augmenting:\n* Stores currency used by Franz for Dynamis item augments.\n* Freya does not convert or break down currency.\n* Franz deducts the required currency from Freya during augmentation.","","","","","","",""
"catseye_npc","Gan-Ban","CW Armor Quest","QuestNPC.png","Inner Horutoto Ruins","Inner Horutoto Ruins H-8, behind Three Mage Gate","Crystal Warrior:\n* Level 30 armor quest: Horutoto Hakken.\n* Rewards Soil Garb Set.","","","","","","",""
"catseye_npc","Garbagio","Item Recycling","Garbagio.png","Port Jeuno","Port Jeuno I-8","CatsEyeXI:\n* Consumes certain items in exchange for rewards.\n* Trading accepted items raises Garbagio Goodwill.\n* Goodwill ranks can unlock one-time rewards and improve bonus item chances.","","","2.3","","","",""
