Icon,Source,Count,ExpectedPath,Types,Examples
"QuestionMark.png","catseye_item",29,"assets/images/catseye_icons/QuestionMark.png","Adept Reforging; CW Crafting Buff; CW Intro Gather; CW Issue Recovery; CW Storage Unlock; CW Trust Fight; Dragonslaying Merit Storage; EXP Guide Unlock; HELM Unlock Quest; Holiday Event; Novice Trial NM; Outpost Unlock Quest; Summit Offering; Summit Offering Turn-in; Summit Quest Fight; System Unlock Quest","Miner's Helmet (catseye_item); Campfire (catseye_item); Loose Branch (catseye_item); Book of Mastery (catseye_item); Brittle Rocks (catseye_item); Shredded Page (catseye_item); Crystal Anomaly (catseye_item); Yagudo's Essence (catseye_item); Lost Lockpick (catseye_item); Dragon Lore (catseye_item); Nyx's Essence (catseye_item); Quadav's Essence (catseye_item)"
"QuestGiver.png","catseye_npc",8,"assets/images/catseye_icons/QuestGiver.png","CW Early Gear; CW Starting Ring; Venture Registration","Orenix (catseye_npc); Woodnox (catseye_npc); Magilox (catseye_npc); Verona (catseye_npc); Moyeyo (catseye_npc); Woodnix (catseye_npc); Aeolia (catseye_npc); Alutanie (catseye_npc)"
"Footprint.png","catseye_item",5,"assets/images/catseye_icons/Footprint.png","CW Arena Entry; CW Armor Quest; CW Early Gear; Novice Trial NM","Mithra Tracks (catseye_item); Hume Footprint (catseye_item); Large Hoofprint (catseye_item); Faded Footprint (catseye_item); Yagudo Tracks (catseye_item)"
"Merchant.png","catseye_npc",4,"assets/images/catseye_icons/Merchant.png","Chair Shop; Conquest Item Vendor; Domain Shard Exchange; Summit Tax Rewards","Domain Officer (catseye_npc); Soupox (catseye_npc); Teodor (catseye_npc); Jeuno Envoy (catseye_npc)"
"Trust.png","catseye_npc",3,"assets/images/catseye_icons/Trust.png","CW Trust Quest","Keenajaques (catseye_npc); Reisle (catseye_npc); Sharara (catseye_npc)"
"Box.png","catseye_item",2,"assets/images/catseye_icons/Box.png","Doubloon Fish Daily; Holiday Event","Sinister Stash (catseye_item); Lost Present (catseye_item)"
"MiningPoint.png","catseye_item",1,"assets/images/catseye_icons/MiningPoint.png","Dragonslayer Intro","Pile of Stones (catseye_item)"
"AuctionManager.png","item",1,"assets/images/item_icons/AuctionManager.png","Auction House","Auction Counter (item)"
"CrystalCrunch.png","item",1,"assets/images/item_icons/CrystalCrunch.png","Crystal Exchange","Crystal Crunch (item)"
"Cutscene.png","item",1,"assets/images/item_icons/Cutscene.png","Cutscene Replay","Enigmatic Footprints #1 (item)"
"Event.png","item",1,"assets/images/item_icons/Event.png","Odyssey Entry","Odyssean Passage (item)"
"GuildMerchant.png","item",1,"assets/images/item_icons/GuildMerchant.png","Leathercraft Guild","Door:Tanners' Guild (item)"
"MissionNPC.png","item",1,"assets/images/item_icons/MissionNPC.png","Manuscript Room","Door:Manuscript Room (item)"
"Reward.png","item",1,"assets/images/item_icons/Reward.png","Reward Retrieval","Mystic Retriever (item)"
"TutorialNPC.png","item",1,"assets/images/item_icons/TutorialNPC.png","Tutorial","Chat Manual (item)"
"craft_01.png","item",1,"assets/images/item_icons/craft_01.png","Synergy Furnace","Synergy Furnace (item)"
