"kind","name","type","icon","zones","location","note","info","link","worldOffsetY","worldOffsetZ","offsetX","offsetY","anchorBone"
"catseye_object","Book of Mastery","Adept Reforging","QuestionMark.png","Rabao","Rabao J-6, next to Adeptus","Adept Reforging:\n* Cancels current Adept trial.\n* Transfers augments from augmented NQ armor to an unaugmented HQ version before the third trial.\n* The NQ armor is consumed during transfer.","","","0.25","","","",""
"catseye_object","Brittle Rocks","CW Intro Gather","QuestionMark.png","Dangruf Wadi","","A Crystal Prelude:\n* Bastokan gathering point.\n* Trade the Pickaxe from Iron Wolf to receive the quest material.","","","0.25","","","",""
"catseye_object","Buried Note","HELM Unlock Quest","QuestionMark.png","Fort Karugo-Narugo [S]","Fort Karugo-Narugo [S] E-8, west exit cliff","Broken Bones:\n* Inspect to receive a crumpled note for Felyna.\n* Used to unlock excavation in Labyrinth of Onzozo.","","","0.25","","","",""
"catseye_object","Campfire","CW Crafting Buff","QuestionMark.png","Provenance","","Crystal Warrior:\n* Trade a log while food is active for crafting bonuses.\n* Zoning out of Provenance removes the food buff.","","","0.25","","","",""
"catseye_object","Crooked Trunk","CW Storage Unlock","QuestionMark.png","Carpenters' Landing","Carpenters' Landing G-9, by collapsed bridge","Boxed Up:\n* Inspect during Rusty Hammer's Ephemeral Box unlock quest.\n* Triggers the level 40 capped Treant fight, then inspect again.","","","0.25","","","",""
"catseye_object","Crystal Anomaly","CW Trust Fight","QuestionMark.png","La Theine Plateau|Konschtat Highlands|Tahrongi Canyon","","Matter of Trust I:\n* Inspect to begin the level 10 Crystal Weapon encounter.\n* Locations: La Theine L-8, Konschtat K-5, Tahrongi I-5.","","","0.25","","","",""
"catseye_object","Crystal Guide","CW Issue Recovery","QuestionMark.png","Provenance","","Crystal Warrior:\n* Handles recovery services formerly handled by Carnelian.\n* Choose ""Something isn't right..."" to restore missed rewards, trusts, inventory slots, and titles.\n* Use before converting Unbreakable to Standard.","","","0.25","","","",""
"catseye_object","Crystal Guide Book","CW Issue Recovery","QuestionMark.png","Provenance","","Crystal Warrior:\n* Handles recovery services formerly handled by Carnelian.\n* Choose ""Something isn't right..."" to restore missed rewards, trusts, inventory slots, and titles.\n* Use before converting Unbreakable to Standard.","","","0.25","","","",""
"catseye_object","Dangling Root","CW Intro Gather","QuestionMark.png","Toraimarai Canal","","A Crystal Prelude:\n* Windurstian gathering point.\n* Trade the Sickle from Erudu-Faludu to receive the quest material.","","","0.25","","","",""
"catseye_object","Dirt","System Unlock Quest","QuestionMark.png","Balga's Dias|Waughroon Shrine|Horlais Peak","","Digging Up Dirt:\n* Inspect hidden Dirt inside BCNM rooms for Sebastian.\n* Used to unlock Domenic's BCNM teleports.","","","0.25","","","",""
"catseye_object","Dragon Lore","Dragonslaying Merit Storage","QuestionMark.png","Ru'Lude Gardens","Ru'Lude Gardens G-9","Dragonslaying:\n* Stores merit points for later DKP pop item purchases.\n* Alternative merit storage to Sigmund in Mhaura.","","","0.25","","","",""
"catseye_object","EXP Guide","EXP Guide","EXPGuide.png","Lower Jeuno","Lower Jeuno Auction House","CatsEyeXI:\n* Free warp book for Signet and Sanction EXP camps.\n* Unlocks after Near Death Experience from Andrus in Lufaise Meadows.\n* Trade 1 gil for a secret menu.\n* Crystal Warriors cannot use this book.","","","0.25","","","",""
"catseye_object","EXP Guide (S)","EXP Guide (S)","EXPGuideS.png","Ru'Lude Gardens","Ru'Lude Gardens, near the Mog House","CatsEyeXI:\n* Free warp book for Sigil EXP camps.\n* Unlocks after Blast to the Past from Ash in Batallia Downs (S).\n* Trade 1 gil for a secret menu to Xarcabard (S) G-7 near Caracal.\n* Crystal Warriors may use this book.","","","0.25","","","",""
"catseye_object","Ephemeral Box","CW Material Storage","EphemeralBox.png","Southern San d'Oria","","Crystal Warrior:\n* Material and collectible storage for Crystal Warriors.\n* Unlocks additional wardrobe slots through the Boxed Up quest.","","","0.25","","","",""
"catseye_object","Faded Footprint","CW Armor Quest","Footprint.png","Ru'Lude Gardens","Ru'Lude Gardens H-7","Crystal Warrior:\n* Level 30 armor quest: Empty Handed.\n* Rewards Shade Harness Set.","","","0.25","","","",""
"catseye_object","Glittering Gift","Holiday Event","QuestionMark.png","East Sarutabaruta|North Gustaberg|West Ronfaure","","Holiday Event:\n* Clickable object left behind after defeating a Twinkle Treant.\n* Rewards a Special Present.\n* First present in each region can reward the nation tree furnishing.","","","0.25","","","",""
"catseye_object","Gobbie Mystery Box","Daily Box","GobbieMysteryBox.png","","","","","","","","","",""
"catseye_object","Hume Footprint","CW Early Gear","Footprint.png","Konschtat Highlands","Konschtat Highlands L-8","Crystal Warrior:\n* Starts quest: Head First.\n* Level 15 early gear quest.","","","0.25","","","",""
"catseye_object","Large Hoofprint","Novice Trial NM","Footprint.png","East Ronfaure","East Ronfaure I-9","Novice Trials:\n* Trade Baked Apple x3 to spawn Rambling Ram.\n* Used by Serpette augment trials.","","","0.25","","","",""
"catseye_object","Loose Branch","CW Intro Gather","QuestionMark.png","King Ranperre's Tomb","","A Crystal Prelude:\n* San d'Orian gathering point.\n* Trade the Hatchet from Robineaux to receive the quest material.","","","0.25","","","",""
"catseye_object","Lost Lockpick","Novice Trial NM","QuestionMark.png","La Theine Plateau","La Theine Plateau C-5","Novice Trials:\n* Trade Sheep Leather x3 to spawn Goblin Burglar.\n* Used by Doublet and Brais augment trials.","","","0.25","","","",""
"catseye_object","Lost Needle","Novice Trial NM","QuestionMark.png","Tahrongi Canyon","Tahrongi Canyon G-9","Novice Trials:\n* Trade Cotton Thread x3 to spawn Goblin Tailor.\n* Used by Linen Robe and Linen Slops augment trials.","","","0.25","","","",""
"catseye_object","Lost Present","Holiday Event","Box.png","East Ronfaure|South Gustaberg|West Sarutabaruta","","Holiday Event:\n* Courier Helper objective.\n* Click the lost present in the field, then return to the Courier Helper for credit.","","","0.25","","","",""
"catseye_object","Lost Tongs","Novice Trial NM","QuestionMark.png","Konschtat Highlands","Konschtat Highlands G-7","Novice Trials:\n* Trade Bronze Ingot x3 to spawn Goblin Armorer.\n* Used by Scale Mail and Scale Cuisses augment trials.","","","0.25","","","",""
"catseye_object","Lumorian Gleam","Organ Storage","LumorianGleam.png","Al'Taieu","Taieu H12","stow and retrieve sea monster organs","","","0.25","","","",""
"catseye_object","Miner's Helmet","HELM Unlock Quest","QuestionMark.png","Gustav Tunnel","Gustav Tunnel D-11","Here Be Dragons:\n* Inspect to spawn Ore Melter for Khartes.\n* Used to unlock mining in Gustav Tunnel.","","","0.25","","","",""
"catseye_object","Mithra Tracks","CW Early Gear","Footprint.png","Tahrongi Canyon","Tahrongi Canyon J-8","Crystal Warrior:\n* Starts quest: Likely Tails.\n* Level 15 early gear quest.","","","0.25","","","",""
"catseye_object","Nyx's Essence","Summit Quest Fight","QuestionMark.png","Attohwa Chasm","Attohwa Chasm, top of Parradamo Tor","Summit of the Stars:\n* Interact after placing all three beastmen offerings.\n* Starts the Nyx Animus alliance battle for Summit access.","","","0.25","","","",""
"catseye_object","Orc Offering","Summit Offering","QuestionMark.png","Monastic Cavern","","Summit of the Stars:\n* Click to receive the Orc Offering for the Summit unlock quest.\n* Offering location changes every in-game hour.","","","0.25","","","",""
"catseye_object","Orc's Essence","Summit Offering Turn-in","QuestionMark.png","Attohwa Chasm","Attohwa Chasm, top of Parradamo Tor","Summit of the Stars:\n* Click to place the Orc Offering.\n* One set of offerings is enough per alliance.","","","0.25","","","",""
"catseye_object","Pile of Stones","Dragonslayer Intro","MiningPoint.png","The Sanctuary of Zi'Tah","The Sanctuary of Zi'Tah H-7","Dragonslaying:\n* Trade a Pickaxe here during the Dragonslayer intro quest.\n* If nothing happens, return to Sigmund and exhaust dialogue.","","","0.25","","","",""
"catseye_object","Quadav Offering","Summit Offering","QuestionMark.png","Qulun Dome","","Summit of the Stars:\n* Click to receive the Quadav Offering for the Summit unlock quest.\n* Offering location changes every in-game hour.","","","0.25","","","",""
"catseye_object","Quadav's Essence","Summit Offering Turn-in","QuestionMark.png","Attohwa Chasm","Attohwa Chasm, top of Parradamo Tor","Summit of the Stars:\n* Click to place the Quadav Offering.\n* One set of offerings is enough per alliance.","","","0.25","","","",""
"catseye_object","Shredded Page","EXP Guide Unlock","QuestionMark.png","Lufaise Meadows|Batallia Downs (S)","","Near Death Experience / Blast to the Past:\n* Third missing page objective.\n* Spawns the level 60 sync NM for the EXP Guide unlock quest.","","","0.25","","","",""
"catseye_object","Sinister Stash","Doubloon Fish Daily","Box.png","Norg","Norg H-8","CatsEyeXI:\n* Level 20+ daily fish turn-in in Norg (H-8), paired with Crooked Jones.\n* Used for the doubloon fishing daily and treasure hunt rewards.","","","0.25","","","",""
"catseye_object","Tattered Page","EXP Guide Unlock","QuestionMark.png","Lufaise Meadows|Batallia Downs (S)","","Near Death Experience / Blast to the Past:\n* Second missing page objective for the EXP Guide unlock quest.","","","0.25","","","",""
"catseye_object","Torn Page","EXP Guide Unlock","QuestionMark.png","Lufaise Meadows|Batallia Downs (S)","","Near Death Experience / Blast to the Past:\n* First missing page objective for the EXP Guide unlock quest.","","","0.25","","","",""
