"kind","name","type","icon","zones","location","note","info","link","worldOffsetY","worldOffsetZ","offsetX","offsetY","anchorBone"
"npc","1st Div. Legatus Berger","Campaign Leader","TacticalAssessment.png","","","","","","","","","",""
"npc","1st Gold Musketeer","Campaign Battle Ally","CampaignArbiter.png","Bastok (S)|Battle|Rolanberry Fields (S), Pashhow Marshlands (S), Grauberg (S) Bastok Markets (S)","","Notes:\nFollows Elivira. Uses Marksmanship weaponskills.","","","","","","",""
"npc","1st Iron Musketeer","Campaign Battle Ally","CampaignArbiter.png","Bastok (S)|Battle|Rolanberry Fields (S), Pashhow Marshlands (S), North Gustaberg (S)","","Notes:\n*  Appears during Offensive Campaign Battles in Rolanberry and Pashhow, following Bartholomaus. They will cure themselves and Bartholomaus, as well as use tier III black magic on their targets. *They are among the few that may be dispatched to Beaucedine Glacier (S) and Xarcabard (S) once Bastok regains most territory in their cordon.","","","","","","",""
"npc","1st Legion Aidman","Campaign Battle Ally","CampaignArbiter.png","Bastok (S)|Battle|Belfry","","Notes:\n* Spawned by an Allied Belfry erected by the Republican Army of Bastok. Participates in offensive Campaign Battles. A maximum of 5 reinforcements will appear, and they will continually respawn unless the belfry is demolished. *They will immediately charge to the Fortifications and attack any defenders they encounter. *Capable of casting a few spells such as Diaga II, Dia II, Banish III, Banishga III, Poisona and Holy which they will use very often. *They fight with Hand-to-Hand damage and are capable of using the following weaponskills: Combo, Spinning Attack, One Inch Punch, Raging Fists and Backhand Blow. ""1st Legion"" probably indicates they are part of Legatus Berger's 1st Division/Legion.","","","","","","",""
"npc","1st Legion Mercenary","Campaign Battle","CampaignArbiter.png","Bastok (S)|Battle|Belfry","","Notes:\n* Spawned by an Allied Armored Belfry erected by the Republican Army of Bastok. Participates in offensive Campaign Battles. A maximum of 5 reinforcements will appear, and they will continually respawn unless the belfry is demolished. *They will immediately charge to the Fortifications and attack any defenders they encounter.","","","","","","",""
"npc","1st Legion Reiter","Dialogue NPC","Dialogue.png","Bastok (S)|Bastok Markets (S)Crawlers' Nest (S)|Battle","","Notes:\n* Appears in Campaign Battles in Bastok Markets (S) and Crawlers' Nest (S), following Else. They will cure themselves, as well as Else. *""1st Legion"" probably indicates they are the cavalry of Legatus Berger's 1st Division/Legion.","","","","","","",""
"npc","1st Legionnaire","Campaign Battle Ally","CampaignArbiter.png","Bastok (S)|Battle|Grauberg (S)","","Notes:\n* Appears during Campaign Battles in North Gustaberg and Grauberg, following Maximilian. Uses Marksmanship weaponskills. *They are among the few that may be dispatched to Beaucedine Glacier (S) and Xarcabard (S) once Bastok regains most territory in their cordon.","","","","","","",""
"npc","2nd Div. Legatus Eichberg","Campaign Leader","TacticalAssessment.png","","","","","","","","","",""
"npc","2nd Legion Grenadier","Dialogue NPC","Dialogue.png","Bastok (S)|Battle|Rolanberry Fields (S)","","Notes:\n* Appears in Campaign Battles at Rolanberry Fields, following Striking Bull. *""2nd Legion"" probably indicates they are the heavy infantry of Legatus Eichberg's 2nd Division/Legion.","","","","","","",""
"npc","2nd Legion Scout","Campaign Battle Ally","CampaignArbiter.png","Bastok|Battle|Grauberg (S)","","Notes:\n* Appears during Campaign Battles in Grauberg, following Adelheid. Casts Protect IV and Shell III on themselves and other NPC units; will also cast Helix spells on the enemy. Despite being Scholars, they wield a polearm and use Penta Thrust fairly often. *""2nd Legion"" probably indicates they are part of Legatus Eichberg's 2nd Division/Legion.","","","","","","",""
"npc","2nd Legionnaire","Campaign Battle Ally","CampaignArbiter.png","Bastok (S)|Battle|North Gustaberg (S)","","Notes:\nParticipates in offensive Campaign Battles in North Gustaberg (S). Casts Dark Knight spells (such as Absorb-TP), but uses polearm weaponskills at least up to Skewer.","","","","","","",""
"npc","3rd Div. Invincible Shield","Campaign Leader","TacticalAssessment.png","","","","","","","","","",""
"npc","3rd Legionnaire","Campaign Battle Ally","CampaignArbiter.png","Bastok (S)|Battle|North Gustaberg (S) during Campaign","","","","","","","","",""
"npc","4th Legionnaire","Campaign Battle","CampaignArbiter.png","Bastok (S)|Varies","","Notes:\n* Appears during Campaign Battles as part of the Fourth Division Centurion unit. *In areas under allied control, they will deliver supplies to the fortifications and warp out. *In areas under beastman control, they will attempt to bomb the fortifications. *They will attempt to construct an Allied Belfry in offensive Campaign battles when Bastok's technological level allows.","","","","","","",""
"npc","7th Cohor Legionnaire","Campaign Ally","CampaignArbiter.png","Bastok (S)|Battle|Everbloom Hollow","","Involved in Missions:\n* A Nation on the Brink (WOTG14)\n\nNotes:\n* Fights alongside Zazarg during the mission A Nation on the Brink.","","","","","","",""
"npc","8th Iron Musketeer","Campaign Battle Ally","CampaignArbiter.png","Bastok (S)|Battle|Crawlers' Nest (S), North Gustaberg (S), Bastok Markets (S), Grauberg (S)","","Notes:\nParticipates in offensive Campaign Battles in Crawlers' Nest, following Kurt. Uses Ranged Attacks and Ninjutsu.","","","","","","",""
"npc","??? Warmachine","Orc Warmachine","Dialogue.png","Bibiki Bay - Purgonorgo Isle|Outland","","Involved in Quests:\n* One Good Deed?\n\nInvolved in Missions:\n* Promathia Mission 5-3\n* Promathia Mission 8-4","","","","","","",""
"npc","??? Warmachine (S)","Orc Warmachine","Dialogue.png","San d'Oria (S)|Southern San d'Oria (S)","","Involved in Quests:\n* Gifts of the Griffon\n* Wrath of the Griffon\n* Perils of the Griffon\n* Bonds That Never Die\n\nNotes:\n* This machine has Engineer Bistillot inside, a member of the Young Griffons. *The present version is only related by name. They are not the same Warmachine.","","","","","","",""
"npc","A.M.A.N. Liaison","Records of Eminence","RecordsOfEminence.png","Southern San d'Oria","","","","","","","","",""
"npc","A.M.A.N. Reclaimer","Vagary Rewards","Merchant.png","*{{location|Bastok Markets|E-11","","Notes:\nA.M.A.N. Reclaimers exchange armour and weapons from certain areas for Reclamation Marks. Upon accumulating 1,000 Reclamation Marks, they will be automatically converted to 1 Copper Voucher, and automatically stored with the A.M.A.N. NPCs. They accept Armour and Weapons from the following areas: *Alluvion Skirmish *Delve *Domain Invasion *Geas Fete *:High-Tier Mission Battlefields *Reive *Skirmish *Sinister Reign *Unity Concord/Wanted NM (only battles added on or after the Thursday, January 15, 2015 version update) *Vagary","","","","","","",""
"npc","Aaveleon","Quest Giver","QuestGiver.png","On the road to Ghelsba Outpost in West Ronfaure|San d'Oria","","Involved in Quests:\n* A Sentry's Peril","","","","","","",""
"npc","Aaveleon (A)","","","Abyssea|Roams Abyssea - La Theine. Has been seen running through","","Involved in Quests:\n* Out of Touch","","","","","","",""
"npc","Abbudin","","","Bastok|Metalworks","","","","","","","","",""
"npc","Abby Jalunshi","MogHouse Watcher","Dialogue.png","Windurst|Windurst Woods","","Notes:\nChecking Abby_Jalunshi will start a conversation with her about Mog Houses. She give you 2 options to start- :: *Nothing in General :: *Ask for an explanation on Mog houses. If you choose the ""Nothing in General option, she will just say: ""Oh Well, Your Loss"" and turn away. If you choose the Other option she says: ""A mogHouse is your own personal apartment room provided for your convienience. Within your MogHouse you can store items, change jobs, and heal up any HP or MP","","","","","","",""
"npc","Abd-al-Raziq","Guild Master","GuildMaster.png","Bastok|Bastok Mines","","Involved in Quests:\n* Lost Chick\n\nInvolved in Missions:\n* That Which Curdles Blood\n\nNotes:\n:*Sign you up for the Alchemy Guild :*Accept the items you need to turn in, to go up in rank for the Alchemy Guild.","","","","","","",""
"npc","Abda-Lurabda","Puppet Name Changer","Dialogue.png","Aht Urhgan Whitegate|Al Zahbi","","Involved in Missions:\n* Aht Urhgan Mission 9: Undersea Scouting\n\nNotes:\n* Tarutaru working hard to be the best Puppet Scientist. *Speaking with him as Puppetmaster will allow you to obtain the option to change your puppetname for 9800 gil. For a complete list of names, see Automaton.","","","","","","",""
"npc","Abeaule","Quest Giver","QuestGiver.png","Northern San d'Oria|San d'Oria","","Starts Quests:\n* The Trader in the Forest\n* The Medicine Woman","","","","","","",""
"npc","Abelard","Quest Giver","QuestGiver.png","Selbina","","Starts Quests:\n* An Explorer's Footsteps\n\nInvolved in Quests:\n* Chasing Dreams\n* Signed in Blood\n\nInvolved in Missions:\n* RoV 1-1-3 - Set Free\n* RoV 1-1-4 - The Beginning","","","","","","",""
"npc","Abenzio","Campaign Ally","CampaignArbiter.png","Campaign battles|Freelance","","Involved in Quests:\n* Babban Ny Mheillea\n\nNotes:\n*  May assist Babban Ny Mheillea during campaign battles in Windurst Waters (S), Southern San d'Oria (S), and Bastok Markets (S).{{verification","","","","","","",""
"npc","Abhrem","Soul Reflector Manager","PankrationOfficial.png","Pankration|The Colosseum - The Pit","","Notes:\n* Provides services related to Soul Reflector creation, upgrades and naming.","","","","","","",""
"npc","Abihaal","Ferry Access","TicketSalesperson.png","Nashmau","","Notes:\nProvides access to the ferry pier, for 100 gil.","","","","","","",""
"npc","Abioleget","Quest Giver","QuestGiver.png","Northern San d'Oria|San d'Oria","","Starts Quests:\n* The Vicasque's Sermon\n* Her Memories: The Faux Pas","","","","","","",""
