"Name","Type","Zones","Location","Info","Note","Icon"
"??? Warmachine","","Bibiki Bay - Purgonorgo Isle; Outland","Bibiki Bay - Purgonorgo Isle H-11","Involved in Quests:
- One Good Deed?

Involved in Missions:
- Promathia Mission 5-3: Three Paths
- Past Sins (Louverance Path)
- Promathia Mission 8-4: Dawn

Notes:
*A secret character under an orcish warmachine - who could it be?","Involved in Quests:
- One Good Deed?

Involved in Missions:
- Promathia Mission 5-3: Three Paths
- Past Sins (Louverance Path)
- Promathia Mission 8-4: Dawn

Notes:
*A secret character under an orcish warmachine - who could it be?",""
"??? Warmachine (S)","","San d'Oria (S); Southern San d'Oria (S)","Southern San d'Oria (S) E-7","Involved in Quests:
- Gifts of the Griffon
- Wrath of the Griffon
- Perils of the Griffon
- Bonds That Never Die

Notes:
*This machine has Engineer Bistillot inside, a member of the Young Griffons. *The present version is only related by name. They are not the same Warmachine.","Involved in Quests:
- Gifts of the Griffon
- Wrath of the Griffon
- Perils of the Griffon
- Bonds That Never Die

Notes:
*This machine has Engineer Bistillot inside, a member of the Young Griffons. *The present version is only related by name. They are not the same Warmachine.",""
"1st Gold Musketeer","Campaign Battle ally NPC","Bastok (S); Battle; Rolanberry Fields (S), Pashhow Marshlands (S), Grauberg (S) Bastok Markets (S)","Rolanberry Fields (S), Pashhow Marshlands (S), Grauberg (S) Bastok Markets (S)","Notes:
Follows Elivira. Uses Marksmanship weaponskills.","Notes:
Follows Elivira. Uses Marksmanship weaponskills.",""
"1st Iron Musketeer","Campaign Battle ally NPC","Bastok (S); Battle; Rolanberry Fields (S), Pashhow Marshlands (S), North Gustaberg (S)","Rolanberry Fields (S), Pashhow Marshlands (S), North Gustaberg (S)","Notes:
* Appears during Offensive Campaign Battles in Rolanberry and Pashhow, following Bartholomaus. They will cure themselves and Bartholomaus, as well as use tier III black magic on their targets. *They are among the few that may be dispatched to Beaucedine Glacier (S) and Xarcabard (S) once Bastok regains most territory in their cordon.","Notes:
* Appears during Offensive Campaign Battles in Rolanberry and Pashhow, following Bartholomaus. They will cure themselves and Bartholomaus, as well as use tier III black magic on their targets. *They are among the few that may be dispatched to Beaucedine Glacier (S) and Xarcabard (S) once Bastok regains most territory in their cordon.",""
"1st Legion Aidman","Campaign Battle ally NPC","Bastok (S); Battle; Belfry","Belfry","Notes:
*Spawned by an Allied Belfry erected by the Republican Army of Bastok. Participates in offensive Campaign Battles. A maximum of 5 reinforcements will appear, and they will continually respawn unless the belfry is demolished. *They will immediately charge to the Fortifications and attack any defenders they encounter. *Capable of casting a few spells such as Diaga II, Dia II, Banish III, Banishga III, Poisona and Holy which they will use very often. *They fight with Hand-to-Hand damage and are capable of using the following weaponskills: Combo, Spinning Attack, One Inch Punch, Raging Fists and Backhand Blow. ""1st Legion"" probably indicates they are part of Legatus Berger's 1st Division/Legion.","Notes:
*Spawned by an Allied Belfry erected by the Republican Army of Bastok. Participates in offensive Campaign Battles. A maximum of 5 reinforcements will appear, and they will continually respawn unless the belfry is demolished. *They will immediately charge to the Fortifications and attack any defenders they encounter. *Capable of casting a few spells such as Diaga II, Dia II, Banish III, Banishga III, Poisona and Holy which they will use very often. *They fight with Hand-to-Hand damage and are capable of using the following weaponskills: Combo, Spinning Attack, One Inch Punch, Raging Fists and Backhand Blow. ""1st Legion"" probably indicates they are part of Legatus Berger's 1st Division/Legion.",""
"1st Legion Mercenary","Campaign Battle NPC","Bastok (S); Battle; Belfry","Belfry","Notes:
*Spawned by an Allied Armored Belfry erected by the Republican Army of Bastok. Participates in offensive Campaign Battles. A maximum of 5 reinforcements will appear, and they will continually respawn unless the belfry is demolished. *They will immediately charge to the Fortifications and attack any defenders they encounter.","Notes:
*Spawned by an Allied Armored Belfry erected by the Republican Army of Bastok. Participates in offensive Campaign Battles. A maximum of 5 reinforcements will appear, and they will continually respawn unless the belfry is demolished. *They will immediately charge to the Fortifications and attack any defenders they encounter.",""
"1st Legion Reiter","","Bastok (S); Bastok Markets (S)Crawlers' Nest (S); Battle","Bastok Markets (S)Crawlers' Nest (S)","Notes:
*Appears in Campaign Battles in Bastok Markets (S) and Crawlers' Nest (S), following Else. They will cure themselves, as well as Else. *""1st Legion"" probably indicates they are the cavalry of Legatus Berger's 1st Division/Legion.","Notes:
*Appears in Campaign Battles in Bastok Markets (S) and Crawlers' Nest (S), following Else. They will cure themselves, as well as Else. *""1st Legion"" probably indicates they are the cavalry of Legatus Berger's 1st Division/Legion.",""
"1st Legionnaire","Campaign Battle ally NPC","Bastok (S); Battle; Grauberg (S)","Grauberg (S)","Notes:
*Appears during Campaign Battles in North Gustaberg and Grauberg, following Maximilian. Uses Marksmanship weaponskills. *They are among the few that may be dispatched to Beaucedine Glacier (S) and Xarcabard (S) once Bastok regains most territory in their cordon.","Notes:
*Appears during Campaign Battles in North Gustaberg and Grauberg, following Maximilian. Uses Marksmanship weaponskills. *They are among the few that may be dispatched to Beaucedine Glacier (S) and Xarcabard (S) once Bastok regains most territory in their cordon.",""
"2nd Legion Grenadier","","Bastok (S); Battle; Rolanberry Fields (S)","Rolanberry Fields (S)","Notes:
*Appears in Campaign Battles at Rolanberry Fields, following Striking Bull. *""2nd Legion"" probably indicates they are the heavy infantry of Legatus Eichberg's 2nd Division/Legion.","Notes:
*Appears in Campaign Battles at Rolanberry Fields, following Striking Bull. *""2nd Legion"" probably indicates they are the heavy infantry of Legatus Eichberg's 2nd Division/Legion.",""
"2nd Legion Scout","Campaign Battle ally NPC","Bastok; Battle; Grauberg (S)","Grauberg (S)","Notes:
*Appears during Campaign Battles in Grauberg, following Adelheid. Casts Protect IV and Shell III on themselves and other NPC units; will also cast Helix spells on the enemy. Despite being Scholars, they wield a polearm and use Penta Thrust fairly often. *""2nd Legion"" probably indicates they are part of Legatus Eichberg's 2nd Division/Legion.","Notes:
*Appears during Campaign Battles in Grauberg, following Adelheid. Casts Protect IV and Shell III on themselves and other NPC units; will also cast Helix spells on the enemy. Despite being Scholars, they wield a polearm and use Penta Thrust fairly often. *""2nd Legion"" probably indicates they are part of Legatus Eichberg's 2nd Division/Legion.",""
